Lyrics,Album,Lyricist,Singers,Year,metaphor_1,source_domain_1,target_domain_1,interpretation_1,metaphor_2,source_domain_2,target_domain_2,interpretation_2,metaphor_3,source_domain_3,target_domain_3,interpretation_3,metaphor_4,source_domain_4,target_domain_4,interpretation_4,metaphor_5,source_domain_5,target_domain_5,interpretation_5,metaphor_6,source_domain_6,target_domain_6,interpretation_6
"ஆண் : { காதல் ரோஜாவே
எங்கே நீ எங்கே கண்ணீா்
வழியுதடி கண்ணே } (2)

ஆண் : கண்ணுக்குள் நீ தான்
கண்ணீாில் நீ தான் கண்மூடி
பாா்த்தால் நெஞ்சுக்குள் நீதான்
என்னானதோ ஏதானதோ
சொல் சொல் காதல் ரோஜாவே
எங்கே நீ எங்கே கண்ணீா்
வழியுதடி கண்ணே

பெண்குழு : ல..ல ல…லலலா
ல..ல ல…லலலா..ல..ல ல…
லலலா..லல லல லல லலலா….

ஆண் : தென்றல் என்னை
தீண்டினால் சேலை தீண்டும்
ஞாபகம் சின்ன பூக்கள் பாா்க்கையில்
தேகம் பாா்த்த ஞாபகம் வெள்ளி
ஓடை பேசினால் சொன்ன வாா்த்தை
ஞாபகம் மேகம் ரெண்டு சோ்கையில்
மோகம் கொண்ட ஞாபகம்

ஆண் : வாயில்லாமல் போனால்
வாா்த்தையில்லை பெண்ணே
நீயில்லாமல் போனால்
வாழ்க்கையில்லை கண்ணே
முள்ளோடு தான் முத்தங்களா
சொல் சொல்

ஆண் : காதல் ரோஜாவே
எங்கே நீ எங்கே கண்ணீா்
வழியுதடி கண்ணே

ஆண் : கண்ணுக்குள் நீ தான்
கண்ணீாில் நீ தான் கண்மூடி
பாா்த்தால் நெஞ்சுக்குள் நீதான்
என்னானதோ ஏதானதோ
சொல் சொல்

பெண் : ……………………………….

ஆண் : வீசுகின்ற தென்றலே
வேலையில்லை நின்று போ
பேசுகின்ற வெண்ணிலா
பெண்மையில்லை ஓய்ந்து போ
பூ வளா்த்த தோட்டமே
கூந்தலில்லை தீா்ந்து போ
பூமி பாா்க்கும் வானமே
புள்ளியாக தேய்ந்து போ

ஆண் : பாவையில்லை பாவை
தேவையென்ன தேவை ஜீவன்
போன பின்னே சேவை என்ன சேவை
முள்ளோடு தான் முத்தங்களா
சொல் சொல்

ஆண் : காதல் ரோஜாவே
எங்கே நீ எங்கே கண்ணீா்
வழியுதடி கண்ணே

ஆண் : கண்ணுக்குள் நீ தான்
கண்ணீாில் நீ தான் கண்மூடி
பாா்த்தால் நெஞ்சுக்குள் நீதான்
என்னானதோ ஏதானதோ
சொல் சொல்

பெண் : ……………………………….",ரோஜா,வைரமுத்து,"சுஜாதா மோகன், எஸ்.பி. பாலசுப்ரமண்யம்",1992,காதல் ரோஜாவே,ரோஜா,காதலி,அழகு,,,,,,,,,,,,,,,,,,,,
"ஆண் : அத்தைக்கு
பிறந்தவளே ஆளாகி
நின்றவளே பருவம்
சுமந்து வரும் பாவாடை
தாமரையே

ஆண் : தட்டாம்பூச்சி
பிடித்தவள் தாவணிக்கு
வந்ததெப்போ மூன்றாம்
பிறையே நீ முழு நிலவா
ஆனதெப்போ மெளனத்தில்
நீ இருந்தா யாரை தான்
கேட்பதெப்போ ஓ…….

ஆண் : { ஆத்தங்கரை
மரமே அரச மர இலையே
ஆலமர கிளையே அதில்
உறங்கும் கிளியே } (2)

ஆண் : ஓடைக்கர ஒழவு
காட்டுல ஒருத்தி யாரு
இவ வெடிச்சி நிக்குற
பருத்தி தாவி வந்து
சண்டை இடும் அந்த
முகமா

ஆண் : தாவணிக்கு
வந்ததொரு நந்தவனமா
உள்ள சொந்தம் என்ன
விட்டு போகாது அட
ஓடத்தண்ணி உப்பு
தண்ணி ஆகாது

பெண் : ஆத்தங்கரை
மரமே அரசமர இலையே
ஆலமர கிளையே அதில்
உறங்கும் கிளியே

ஆண் : ………………………

பெண் : மாமனே உன்னை
தாங்காம மத்தியில்
சோறும் பொங்காம பாவி
நான் பருத்தி மாரா போனேனே

பெண் : காகம் தான்
கத்தி போனாலும்
கதவு தான் சத்தம்
போட்டாலும் உன்
முகம் பாக்க ஓடி
வந்தேனே

பெண் : ஒத்தையில்
ஓடைக்கரையோரம்
கத்தியே உன் பேர்
சொன்னேனே ஒத்தையில்
ஓடும் ரயில் ஓரம் கத்தியே
உன் பேர் சொன்னேனே
அந்த இரயில் தூரம்
போனதும் நேரம் ஆனதும்
கண்ணீர் விட்டேனே

பெண் : முத்து மாமா
என்னை விட்டு
போகாதே என் ஒத்த
உசுரு போனா மீண்டும்
வாராதே

ஆண் : ஆத்தங்கரை
மரமே அரசமர இலையே
ஆலமர கிளையே அதில்
உறங்கும் கிளியே

ஆண் : தாவணி
பொண்ணே சுகந்தானா
தங்கமே தளும்பும்
சுகந்தானா பாறையில்
சின்ன பாதம் சுகந்தானா

ஆண் : தொட்ட பூ
எல்லாம் சுகந்தானா
தொடாத பூவும் சுகந்தானா
தோப்புல ஜோடி மரங்கள்
சுகந்தானா

ஆண் : { அயித்தயும்
மாமனும் சுகந்தானா
ஆத்துல மீனும் சுகந்தானா } (2)
அன்னமே உன்னையும்
என்னையும் தூக்கி வளர்த்த
திண்ணையும் சுகந்தானா

ஆண் : மாமன்
பொண்ணே மச்சம்
பார்த்து நாளாச்சு
உன் மச்சானுக்கு
மயிலப் பசுவு தோதாச்சு

பெண் : ஆத்தங்கரை
மரமே அரசமர இலையே
ஆலமர கிளையே அதில்
உறங்கும் கிளியே

ஆண் : ஓடைக்கர ஒழவு
காட்டுல ஒருத்தி யாரு
இவ வெடிச்சி நிக்குற
பருத்தி தாவி வந்து
சண்டை இடும் அந்த
முகமா தாவணிக்கு
வந்ததொரு நந்தவனமா

பெண் : உள்ள சொந்தம்
என்ன விட்டு போகாது
அட ஓடத்தண்ணி உப்பு
தண்ணி ஆகாது

ஆண் : ஆத்தங்கரை
மரமே அரசமர இலையே
ஆலமர கிளையே அதில்
உறங்கும் கிளியே",கிழக்குச் சீமையிலே,வைரமுத்து,"சுஜாதா மோகன்,  மனோ",1993,"மூன்றாம் பிறையே நீ முழு நிலவா
ஆனதெப்போ ",நிலா,அத்தை மகள்,பருவம் / வளர்ச்சி,,,,,,,,,,,,,,,,,,,,
"ஆண் : மானூத்து மந்தையில
மாங்குட்டி பெத்த மயிலே
பொட்டபுள்ள பொறந்ததுன்னு
பொலிகாட்டில் கூவும் குயிலே

குழு : தாய்மாமன் சீர்
சொமந்து வாராண்டி
அவன் தங்கக் கொலுசு
கொண்டு தாராண்டி

குழு : சீரு சொமந்த சாதி சனமே
ஆறு கடந்தா ஊரு வருமே

ஆண் : நாட்டுக் கோழி அடிச்சு
நாக்கு சொட்ட சமைச்சு
நல்லெண்ண ஊத்திக் குடு ஆத்தா

குழு : மேலு காலு வலிச்சா
வெள்ளப்பூண்டு உரிச்சி
வெல்லங் கொஞ்சம் போட்டுக் குடு ஆத்தா

ஆண் : பச்ச ஒடம்புக்காரி
பாத்து நடக்கச்சொல்லுங்க
குழு : பிள்ளைக்கி தாய்ப்பாலத்
தூக்கிக் கொடுக்கச்சொல்லு

ஆண் : மச்சான திண்ணையில
போத்திப் படுக்கச்சொல்லு

ஆண் : மானூத்து மந்தையில
மாங்குட்டி பெத்த மயிலே
பொட்டபுள்ள பொறந்ததுன்னு
பொலிகாட்டில் கூவும் குயிலே

குழு : தாய்மாமன் சீர்
சொமந்து வாராண்டி
அவன் தங்கக் கொலுசு
கொண்டு தாராண்டி

குழு : சீரு சொமந்த சாதி சனமே
ஆறு கடந்தா ஊரு வருமே

ஆண் : ஆட்டுப்பால் குடிச்சா
அறிவழிஞ்சி போகுமுன்னு
எருமப்பால் குடிச்சா
ஏப்பம் வந்து சேருமுன்னு
குழு : காராம்பசு ஓட்டி
வாராண்டி தாய் மாமன்

ஆண் : வெள்ளிச்சங்கு செஞ்சா
வெலக்கி வெக்க வேணுமுன்னு
தங்கத்தில் சங்கு செஞ்சி
தாராண்டி தாய் மாமன்

குழு : பச்ச ஒடம்புக்காரி
பாத்து நடக்கச்சொல்லுங்க
ஆண் : ஈ எறும்பு அண்டாம
எட்டி இருக்கச்சொல்லு
மச்சான ஈரத்துணி
கட்டி இருக்கச்சொல்லு..ஹா..ஹா..

ஆண் : மானூத்து மந்தையில
மாங்குட்டி பெத்த மயிலே..ஐயோ
பொட்டபுள்ள பொறந்ததுன்னு
பொலிகாட்டில் கூவும் குயிலே

குழு : தாய்மாமன் சீர்
சொமந்து வாராண்டி
அவன் தங்கக் கொலுசு
கொண்டு தாராண்டி

குழு : சீரு சொமந்த சாதி சனமே
ஆறு கடந்தா ஊரு வருமே
ஆண் : ஹோய்
குழு : சீரு சொமந்த சாதி சனமே
ஆறு கடந்தா ஊரு வருமே

ஆண் : மானூத்து மந்தையில
மாங்குட்டி பெத்த மயிலே…போடு
பொட்டபுள்ள பொறந்ததுன்னு
பொலிகாட்டில் கூவும் குயிலே",கிழக்குச் சீமையிலே,வைரமுத்து,"எஸ்.பி. பாலசுப்ரமண்யம், சசி ரேகா ",1993,மயிலே,மயில்,மருமகள்,அழகு,,,,,,,,,,,,,,,,,,,,
"ஆண் : எங்கே போகுதோ
வானம் எங்கே போகுதோ
வானம் அங்கே போகிறோம்
நாமும்

ஆண் : எங்கே போகுதோ
வானம் அங்கே போகிறோம்
நாமும்
குழு : வாழ்வில் மீண்டாய்
வையம் வென்றாய் எல்லை
உனக்கில்லை தலைவா

ஆண் : காற்றின் பாடல்கள்
என்றுமே தீராது வெற்றிச்
சங்கொலி என்றுமே ஓயாது
ஓயாது

ஆண் : ஹே உனது
வாளால் ஒரு சூரியனை
உண்டாக்கு ஹோ ஹோ
ஹே எனது தோழா நம்
தாய்நாட்டைப் பொன்னாக்கு

ஆண் : ஆகாயம் தடுத்தால்
பாயும் பறவை ஆவோம்
மாமலைகள் தடுத்தால்
தாவும் மேகம் ஆவோம்

ஆண் : காடு தடுத்தால்
காற்றாய்ப் போவோம்
கடலே தடுத்தால்
மீன்கள் ஆவோம்

குழு : தீரா வைரம்
உன் நெஞ்சம் நெஞ்சம்
நெஞ்சம் வெற்றி உன்னை
வந்து கெஞ்சும் கெஞ்சும்
கெஞ்சும்

ஆண் : இலட்சியம் என்பதெல்லாம்
வலி கண்டு பிறப்பதடா
வெற்றிகள் என்பதெல்லாம்
வாள் கண்டு பிறப்பதடா

ஆண் : எங்கே போகுதோ
வானம் அங்கே போகிறோம்
நாமும்
குழு : வாழ்வில் மீண்டாய்
வையம் வென்றாய் எல்லை
உனக்கில்லை தலைவா

குழு : …………………………….

ஆண் : எந்தன் வில்லும்
சொல்லிய சொல்லும்
எந்த நாளும்
பொய்த்ததில்லை

குழு : இளைய சிங்கமே
எழுந்து போராடு போராடு
தீரா வைரம் உன் நெஞ்சம்
நெஞ்சம் நெஞ்சம் வெற்றி
உன்னை வந்து கெஞ்சும்
கெஞ்சும் கெஞ்சும்

ஆண் : உங்களின் வாழ்த்துக்களால்
உயிர் கொண்டு எழுந்து
விட்டேன் வாழ்த்திய
மணங்களுக்கு என்
வாழ்க்கையே வழங்கி
விட்டேன்

ஆண் : ஹே உனது
வாளால் ஒரு சூரியனை
உண்டாக்கு ஹோ ஹோ
ஹே எனது தோழா நம்
தாய்நாட்டைப் பொன்னாக்கு

ஆண் : எங்கே போகுதோ
வானம் அங்கே போகிறோம்
நாமும்
குழு : வாழ்வில் மீண்டாய்
வையம் வென்றாய் எல்லை
உனக்கில்லை தலைவா

ஆண் : காற்றின் பாடல்கள்
என்றுமே தீராது வெற்றிச்
சங்கொலி என்றுமே ஓயாது
ஓயாது",கோச்சடையான்,வைரமுத்து,எஸ்.பி. பாலசுப்ரமண்யம்,1993,"தீரா வைரம்
உன் நெஞ்சம்",வைரம்,நெஞ்சம்,உறுதி,இளைய சிங்கமே,ஆண்,வீரம்,,,,,,,,,,,,,,,,,
"பெண் : கொஞ்சம் நிலவு
கொஞ்சம் நெருப்பு
ஒன்றாய் சேர்த்தால் எந்தன் தேகம்
கொஞ்சம் நஞ்சு
கொஞ்சம் அமுதம்
ஒன்றாக சேர்த்தால் எந்தன் கண்கள்
கொஞ்சம் மிருகம்
கொஞ்சம் கடவுள்
ஒன்றாய் சேர்த்தால் எந்தன் நெஞ்சம்

பெண் : சந்திரலேகா… ஆஆ…
சந்திரலேகா…
சந்திரலேகா… ஆஆ…
சந்திரலேகா…

பெண் : கொஞ்சம் நிலவு
கொஞ்சம் நெருப்பு
ஒன்றாக சேர்த்தால் எந்தன் தேகம்

பெண் : என் கனவில் எவனோ ஒருவன்
என் இரவில் ஒளியாய் தெரிவான்
வான் மழை போல்
உயிரில் உயிரில் விழுவான்
தினம் நான் விரும்பும்
வகையில் வந்து பொழிவான்
தேன் இதழை இவள்
தந்து மாயாது
இனி பார்கடலில்
அலை என்றும் ஓயாது

பெண் : வந்து நான் மண்ணிலே
ஏன் பிறந்தேன்
என்ற கேள்வி வாராது
இங்கு நீ இருந்தால்
ஒரு தோல்வி நேராது

குழு : மங்கை உன் கால் பட்டால்
மண்ணும் ஒரு மண்ணல்ல
வெள்ளை பொன் தேகத்தில்
வேர்வைத் துளி உப்பல்ல
செந்தாழம் பூவுக்கு
முள்ளொன்றும் குறையல்ல
பெண் : ஆஆ…ஆஅ…ஆஅ…
குழு : உள்ளொன்று வைத்தாலும்
உன்மீது பிழையல்ல

பெண் : கொஞ்சம் நிலவு
கொஞ்சம் நெருப்பு
ஒன்றாய் சேர்த்தால் எந்தன் தேகம்
கொஞ்சம் நஞ்சு
கொஞ்சம் அமுதம்
ஒன்றாக சேர்த்தால் எந்தன் கண்கள்

பெண் : கொஞ்சம் மிருகம்
குழு : கொஞ்சம் மிருகம்
பெண் : கொஞ்சம் கடவுள்
குழு : கொஞ்சம் கடவுள்
பெண் : ஒன்றாய் சேர்த்தால் எந்தன் நெஞ்சம்

பெண் : சந்திரலேகா… ஆஆ…
சந்திரலேகா…
சந்திரலேகா… ஆஆ…
சந்திரலேகா…

பெண் : ஆஹா…ஆஅ…ஆஅ…ஆ…(4)

குழு : பெண்ணே உன் கண்ணாளன்
பிறையேறி வருவானே
விண்கொண்ட மீனெல்லாம்
விளையாட தருவானே
பெண் : ஓஅஹ்…ஆஆஅ…ஆ…..ஆ…

பெண் : கொஞ்சம் நிலவு
கொஞ்சம் நெருப்பு
ஒன்றாய் சேர்த்தால் எந்தன் தேகம்
கொஞ்சம் நஞ்சு
கொஞ்சம் அமுதம்
ஒன்றாக சேர்த்தால் எந்தன் கண்கள்

பெண் : கொஞ்சம் மிருகம்
குழு : கொஞ்சம் மிருகம்
பெண் : கொஞ்சம் கடவுள்
குழு : கொஞ்சம் கடவுள்
பெண் : ஒன்றாய் சேர்ந்தால் எந்தன் நெஞ்சம்

பெண் : சந்திரலேகா… ஆஆ…
சந்திரலேகா…
சந்திரலேகா… ஆஆ…
சந்திரலேகா…

பெண் : ஆஹா…ஆஅ…ஆ…ஆஅ…அஹ்",திருடா திருடா,வைரமுத்து,"அனுபமா, சுரேஷ் பீட்டர்ஸ்",1993,"கொஞ்சம் நிலவு
கொஞ்சம் நெருப்பு
ஒன்றாய் சேர்த்தால் எந்தன் தேகம்","நிலவு, நெருப்பு",தேகம்,"குளிர்மையும்
வெப்பமும் 
சேர்ந்த தன்மை","கொஞ்சம் நஞ்சு
கொஞ்சம் அமுதம்
ஒன்றாக சேர்த்தால் எந்தன் கண்கள்","நஞ்சு, அமுதம்",கண்கள்,"கெடுதி, இனிமை","கொஞ்சம் மிருகம்
கொஞ்சம் கடவுள்
ஒன்றாய் சேர்த்தால் எந்தன் நெஞ்சம்","மிருகம், கடவுள்",நெஞ்சம்,"கொடியது, நல்லது",வெள்ளை பொன் தேகத்தில்,வெள்ளை பொன்,தேகம்,அழகு,,,,,,,,
"பெண் : இந்திரையோ இவள் சுந்தரியோ
தெய்வ ரம்பைய மோகினியோ
இந்திரையோ இவள் சுந்தரியோ
தெய்வ ரம்பைய மோகினியோ

பெண் : மனம் முந்தியதோ
விழி முந்தியதோ
கரம் முந்தியதோ எனவே

பெண் : உயர் சந்திர சூடர்
குறும்பல ஈசர்
சங்கணி வீதியிலே

பெண் : மணி பைந்தொடி நாரி
வசந்த ஒய்யாரி
பொன் பந்து கொன்டாடினளே

பெண் : மனம் முந்தியதோ
விழி முந்தியதோ
கரம் முந்தியதோ எனவே",காதலன்,வைரமுத்து,"மின்மினி, கல்யாணி மேனன், சுனந்தா",1994,இந்திரையோ இவள் சுந்தரியோ தெய்வ ரம்பைய மோகினியோ,"இந்திரை, சுந்தரி, ரம்பைய மோகினி",காதலி,அழகு,,,,,,,,,,,,,,,,,,,,
"ஆண் : போறாளே பொண்ணுத்தாயீ
போகிற போக்கில் மனச தொட்டு
தர பாக்கும் கதிர போல வெக்கபட்டு

பெண் : போறாளே பொண்ணுத்தாயீ
புழுதி காட்டில் மனச விட்டு
உள்ளூரு பொல்லாப்புக்கு கட்டு பட்டு

ஆண் : வெள்ளாமை நீ தான்
வெள்ளாடு நான் தான்
வெட்கத்த விட்டு தள்ளமா

பெண் : வெள்ளாமை காட்ட
விட்டு தர மாட்டா
பண்பாட கட்டிகாக்கும்
பட்டி காட்டு கருத்தம்மா

ஆண் : போறாளே பொண்ணுத்தாயீ
போகிற போக்கில் மனச தொட்டு
தர பாக்கும் கதிர போல வெக்கபட்டு

பெண் : போறாளே பொண்ணுத்தாயீ
புழுதி காட்டில் மனச விட்டு
உள்ளூரு பொல்லாப்புக்கு கட்டு பட்டு

ஆண் : படிக்காத புள்ள
மனசெல்லாம் வெள்ளை
இவளது நாக்குல போக்குல
மனசிலே கள்ளமில்லை

பெண் : உன் மேலே கிறுக்கு
உள்ளூர இருக்கு
வாய்விட்டு சொல்லத்தானே
தோதுயில்லை தோதுயில்லை
வைகைக்கு கடலை சேர
யோகமில்லை யோகமில்லை

ஆண் : அது சரி வியாழனும் வெள்ளியும்
இருப்பது தூரமில்லை

ஆண் : போறாளே பொண்ணுத்தாயீ
போகிற போக்கில் மனச தொட்டு
தர பாக்கும் கதிர போல வெக்கபட்டு

பெண் : நீ கண்ட வள்ளி
சப்பாத்தி கள்ளி
கள்ளியின் இலையிலும் காயிலும்
கனியிலும் முள்ளிருக்கும்

ஆண் : அடி போடி கள்ளி
நீ தாண்டி அல்லி
கண்டாங்கி சேலை கட்டும்
கண்ணகியே கண்ணகியே
உன் கொசுவத்தில் உசுர கட்டி
கொல்லுரியே கொல்லுரியே

பெண் : வர வர பொம்பள பொழப்பயே
வம்புல மாட்டுறியே

பெண் : போறாளே பொண்ணுத்தாயீ
ஆண் : போறாளே பொண்ணுத்தாயீ
பெண் : புழுதி காட்டில் மனச விட்டு
உள்ளூரு பொல்லாப்புக்கு கட்டு பட்டு
ஆண் : கட்டு பட்டு

பெண் : போறாளே பொண்ணுத்தாயீ
புழுதி காட்டில் மனச விட்டு
உள்ளூரு பொல்லாப்புக்கு கட்டு பட்டு

ஆண் : வெள்ளாமை நீ தான்
வெள்ளாடு நான் தான்
வெட்கத்த விட்டு தள்ளமா

பெண் : வெள்ளாமை காட்ட
விட்டு தர மாட்டா
பண்பாட கட்டிகாக்கும்
பட்டி காட்டு கருத்தம்மா

ஆண் : போறாளே பொண்ணுத்தாயீ
போகிற போக்கில் மனச தொட்டு
தர பாக்கும் கதிர போல வெக்கபட்டு

பெண் : போறாளே பொண்ணுத்தாயீ
புழுதி காட்டில் மனச விட்டு
உள்ளூரு பொல்லாப்புக்கு கட்டு பட்டு",கருத்தம்மா,வைரமுத்து,"சுஜாதா மோகன், உன்னி மேனன்",1994,மனசெல்லாம் வெள்ளை,வெள்ளை,மனம்,களங்கமற்றது,"வெள்ளாமை நீ தான்
வெள்ளாடு நான் தான்","வெள்ளாமை, வெள்ளாடு",காதலர்கள்,வெட்கத்த விட்டு பழகுதல்,நீ தாண்டி அல்லி,அல்லி,காதலி,அழகு,,,,,,,,,,,,
"பெண் : ஆஆ…..ஆஆஆ…..ஆஆஆ….
ம்ம்ம்ம்….ம்ம்ம்…….

பெண் : காற்று குதிரையிலே
என் காற்குழல் தூது விட்டேன்
காற்று குதிரையிலே
என் காற்குழல் தூது விட்டேன்

பெண் : அது நேற்று நடந்ததனாலே
உன் நெஞ்சில் எழுதட்டுமே
குழு : ம்ம்ம்ம்….ம்ம்ம்…….

பெண் : ஆற்றங்கரைப் புதரில்
சிக்கி ஆடும் நுரை போலே
வேற்று கிரகத்திலே நான்
விளையாட போவதெப்போ

குழு : ம்ம்ம்ம்….ம்ம்ம்…….
ம்ம்ம்ம்….ம்ம்ம்…….",காதலன்,வைரமுத்து,"மின்மினி, சுஜாதா மோகன்",1994,காற்று குதிரையிலே என் காற்குழல் தூது விட்டேன்,குதிரை,காற்று,வேகம்,,,,,,,,,,,,,,,,,,,,
"ஆண் : வெண்ணிலாவின் தேரில் ஏறி
காதல் தெய்வம் நேரில் வந்தாளே
மானம் உள்ள ஊமை போல
தானம் கேட்க கூசி நின்றேனே

ஆண் : நிறம் கண்டு முகம் கண்டா
நேசம் கொண்டேன்
அவள் நிழல் கண்டு நிழல் கண்டே
நான் பாசம் கொண்டேன்

ஆண் : வெண்ணிலாவின் தேரில் ஏறி
காதல் தெய்வம் நேரில் வந்தாளே

ஆண் : {அட கை நீட்டும் தம்பியே
எனை கட்டிவைத்தாள் அன்னையே
நீ வெட்டினாலும் நீரை வார்க்கும்
இந்தப் பாறையே} (2)

ஆண் : நிறம் கண்டு முகம் கண்ட
நேசம் கொண்டேன்
அவள் நிழல் கண்டு நிழல் கண்டே
நான் பாசம் கொண்டேன்

ஆண் : வெண்ணிலாவின் தேரில் ஏறி
காதல் தெய்வம் நேரில் வந்தாளே

ஆண் : கால் அழகு மேல் அழகு
கண் பொங்க கண்டேன்
அவள் நூல் அவிழும் இடை அழகை
நோகாமல் தின்பேன்

ஆண் : கத்தி மூக்கில்
காதல் நெஞ்சை
காயம் செய்து மாயம் செய்தாளே

ஆண் : {அட கைநீட்டும் தம்பியே
எனை கட்டிவைத்தாள் அன்னையே
நீ வெட்டினாலும் நீரை வார்க்கும்
இந்தப் பாறையே} (2)

ஆண் : அவள் சிக்கெடுக்கும் கூந்தலுக்கு
சீப்பாக இருப்பேன்
இல்லை செந்தாமரை பாதத்தில்
செருப்பாக பிறப்பேன்

ஆண் : அண்டமெல்லாம் விண்டு போகும்
கொண்ட காதல் கொள்கை மாறாது",டூயட்,வைரமுத்து,கே. ஜே. யேசுதாஸ்,1994,அவள் நூல் அவிழும் இடை அழகை,நூல்,இடை,மெலிந்த,கத்தி மூக்கில்,கத்தி,மூக்கு,கூர்மை,செந்தாமரை பாதத்தில்,செந்தாமரை,பாதம்,சிவந்த,,,,,,,,,,,,
"பெண் : சிநேகிதனே சிநேகிதனே
ரகசிய சிநேகிதனே சின்ன சின்னதாய்
கோாிக்கைகள் செவி கொடு சிநேகிதனே
இதே அழுத்தம் அழுத்தம் இதே அணைப்பு
அணைப்பு வாழ்வின் எல்லை வரை
வேண்டும் வேண்டும் வாழ்வின் எல்லை
வரை வேண்டும் வேண்டும் சிநேகிதனே
சிநேகிதனே ரகசிய சிநேகிதனே

பெண் : சின்னச் சின்ன
அத்துமீறல் புாிவாய் என்
செல் எல்லாம் பூக்கள் பூக்கச்
செய்வாய் மலா்களில் மலா்வாய்
பூப்பறிக்கும் பக்தன் போல மெதுவாய்
நான் தூங்கும் போது விரல் நகம்
களைவாய் சத்தமின்றி துயில்வாய்

பெண் : ஐவிரல் இடுக்கில்
ஆலிவ் எண்ணெய் பூசி
சேவையும் செய்ய வேண்டும்
நீ அழும்போது நான் அழ
நோ்ந்தால் துடைக்கின்ற
விரல் வேண்டும்

பெண் : சிநேகிதனே சிநேகிதனே
ரகசிய சிநேகிதனே சின்ன சின்னதாய்
கோாிக்கைகள் செவி கொடு சிநேகிதனே

ஆண் : நேற்று முன்னிரவில்
உன் நித்திலப்பூ மடியில் காற்று
நுழைவது ஓ உயிா் கலந்து
களித்திருந்தேன் இன்று
விண்ணிலவில் அந்த ஈர
நினைவில் கன்று தவிப்பது
ஓ மனம் கலங்கி புலம்புகிறேன்

{ கூந்தல் நெளிவில் எழில்
கோலச்சாிவில் } (2)
கா்வம் அழிந்ததடி..
என் கா்வம் அழிந்ததடி

பெண் : சொன்னதெல்லாம்
பகலிலே புாிவேன் நீ சொல்லாததும்
இரவிலே புாிவேன் காதில் கூந்தல்
நுழைப்பேன் உந்தன் சட்டை நானும்
போட்டு அலைவேன் நீ குளிக்கையில்
நானும் கொஞ்சம் நனைவேன் உப்பு
மூட்டை சுமப்பேன் உன்னை அள்ளி
எடுத்து உள்ளங்கையில் மடித்து
கைக்குட்டையில் ஒளித்துக் கொள்வேன்
வேளைவரும் போது விடுதலை செய்து
வேண்டும் வரம் வாங்கிக் கொள்வேன்

பெண் : சிநேகிதனே சிநேகிதனே
ரகசிய சிநேகிதனே சின்ன சின்னதாய்
கோாிக்கைகள் செவி கொடு சிநேகிதனே",அலைபாயுதே,வைரமுத்து,"சாதனா சர்கம், ஸ்ரீனிவாஸ்",2000,சிநேகிதனே,சிநேகிதன்,காதலன்,நட்பு,,,,,,,,,,,,,,,,,,,,
